soc_code,title,dv_rating_beta,dv_rating_alpha,human_rating_beta,sml_score,gaia_e,group,median_annual_wage,employment,aei_task_success,aei_autonomy_pct
19-4092.00,Forensic Science Technicians,38.7,6.5,19.4,62.9,0.4516,Life & Physical Sciences,,,94.4,58.2
19-4099.01,Quality Control Analysts,52.1,21.3,47.9,65.9,0.5533,Life & Physical Sciences,,,73.0,63.5
19-4099.03,Remote Sensing Technicians,54.8,9.7,46.8,66.3,0.5714,Life & Physical Sciences,,,68.5,59.8
19-5011.00,Occupational Health and Safety Specialists,33.3,4.8,35.7,,0.333,Life & Physical Sciences,,,81.2,56.2
19-5012.00,Occupational Health and Safety Technicians,39.6,12.5,41.7,,0.396,Life & Physical Sciences,,,77.6,55.8
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,20.0,8.9,28.9,60.3,0.328,Community & Social Service,,,86.7,66.2
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",28.9,5.3,32.5,71.1,0.4975,Community & Social Service,,,69.0,60.5
21-1013.00,Marriage and Family Therapists,11.1,7.4,27.8,58.3,0.2604,Community & Social Service,,,81.7,67.5
21-1014.00,Mental Health Counselors,25.5,7.8,26.5,55.0,0.2942,Community & Social Service,,,72.2,64.2
21-1015.00,Rehabilitation Counselors,35.5,6.5,46.8,60.3,0.4055,Community & Social Service,,,75.0,54.2
21-1021.00,"Child, Family, and School Social Workers",24.3,5.7,30.0,63.1,0.3819,Community & Social Service,,,86.6,59.2
21-1022.00,Healthcare Social Workers,34.4,3.1,42.2,60.8,0.4058,Community & Social Service,,,84.4,67.8
21-1023.00,Mental Health and Substance Abuse Social Workers,27.1,0.0,35.4,57.3,0.3288,Community & Social Service,,,86.1,64.8
21-1091.00,Health Education Specialists,53.2,25.8,50.0,66.2,0.5623,Community & Social Service,,,75.1,57.2
21-1092.00,Probation Officers and Correctional Treatment Specialists,39.5,15.8,44.7,64.1,0.4695,Community & Social Service,,,,
21-1093.00,Social and Human Service Assistants,39.3,21.4,37.5,66.3,0.494,Community & Social Service,,,79.8,58.8
21-1094.00,Community Health Workers,31.9,8.3,34.7,65.9,0.4523,Community & Social Service,,,94.5,57.8
21-2011.00,Clergy,33.3,19.0,23.8,69.1,0.4964,Community & Social Service,,,84.9,61.5
21-2021.00,"Directors, Religious Activities and Education",43.9,15.2,45.5,61.9,0.466,Community & Social Service,,,78.2,60.8
23-1011.00,Lawyers,42.5,0.0,47.5,57.3,0.4058,Legal,,,75.7,56.8
23-1012.00,Judicial Law Clerks,51.7,13.8,44.8,60.0,0.483,Legal,,,69.5,52.2
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",50.0,15.4,34.6,69.7,0.5868,Legal,,,69.9,53.5
23-1022.00,"Arbitrators, Mediators, and Conciliators",50.0,9.7,37.1,48.8,0.3449,Legal,,,71.3,58.0
23-1023.00,"Judges, Magistrate Judges, and Magistrates",41.7,0.0,25.0,57.5,0.4041,Legal,,,65.5,54.2
23-2011.00,Paralegals and Legal Assistants,52.5,20.0,45.0,53.1,0.4072,Legal,,,60.4,55.8
23-2093.00,"Title Examiners, Abstractors, and Searchers",57.1,21.4,55.4,64.4,0.5609,Legal,,,77.3,38.7
25-1011.00,"Business Teachers, Postsecondary",48.9,18.2,42.0,,0.489,Education & Library,,,74.9,59.5
25-1021.00,"Computer Science Teachers, Postsecondary",51.2,16.7,36.9,,0.512,Education & Library,,,75.7,58.8
25-1022.00,"Mathematical Science Teachers, Postsecondary",54.1,29.7,43.2,69.4,0.6038,Education & Library,,,76.3,59.5
25-1031.00,"Architecture Teachers, Postsecondary",48.8,19.5,42.7,,0.488,Education & Library,,,75.2,59.8
25-1032.00,"Engineering Teachers, Postsecondary",50.0,14.3,41.7,,0.5,Education & Library,,,75.8,59.8
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",50.0,22.2,58.9,55.6,0.4236,Education & Library,,,75.9,60.2
25-1042.00,"Biological Science Teachers, Postsecondary",46.9,14.3,39.8,67.5,0.5458,Education & Library,,,74.5,59.2
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",47.8,19.6,42.4,55.9,0.4161,Education & Library,,,75.8,60.2
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",47.5,17.5,40.0,59.7,0.4586,Education & Library,,,75.4,59.5
25-1052.00,"Chemistry Teachers, Postsecondary",43.1,17.6,40.2,,0.431,Education & Library,,,76.2,59.5
25-1053.00,"Environmental Science Teachers, Postsecondary",52.2,26.1,42.4,68.1,0.5793,Education & Library,,,75.3,59.2
25-1054.00,"Physics Teachers, Postsecondary",41.9,11.6,37.2,,0.419,Education & Library,,,76.3,59.0
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",52.0,28.6,40.8,,0.52,Education & Library,,,76.1,60.0
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",50.0,22.2,44.4,41.3,0.2581,Education & Library,,,74.7,58.8
25-1063.00,"Economics Teachers, Postsecondary",47.6,14.6,43.9,60.3,0.466,Education & Library,,,75.9,59.2
25-1064.00,"Geography Teachers, Postsecondary",47.7,18.2,46.6,58.1,0.441,Education & Library,,,75.9,59.2
25-1065.00,"Political Science Teachers, Postsecondary",47.6,17.1,41.5,,0.476,Education & Library,,,75.9,59.2
25-1066.00,"Psychology Teachers, Postsecondary",48.0,16.0,39.0,,0.48,Education & Library,,,76.3,60.2
25-1067.00,"Sociology Teachers, Postsecondary",43.2,13.6,39.8,,0.432,Education & Library,,,75.9,59.2
25-1071.00,"Health Specialties Teachers, Postsecondary",47.5,12.5,38.8,,0.475,Education & Library,,,76.1,59.0
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",40.2,15.7,37.3,,0.402,Education & Library,,,75.6,59.5
25-1081.00,"Education Teachers, Postsecondary",48.8,16.7,44.0,65.0,0.5264,Education & Library,,,75.6,59.2
25-1082.00,"Library Science Teachers, Postsecondary",51.1,21.3,42.6,47.5,0.3354,Education & Library,,,76.7,59.5
25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",50.0,22.5,43.8,63.8,0.5185,Education & Library,,,75.9,59.2
25-1112.00,"Law Teachers, Postsecondary",45.0,12.5,58.8,,0.45,Education & Library,,,76.0,59.5
25-1113.00,"Social Work Teachers, Postsecondary",42.0,15.9,51.1,56.9,0.3986,Education & Library,,,75.5,59.8
25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",43.8,12.5,59.4,66.3,0.5164,Education & Library,,,75.8,60.0
25-1122.00,"Communications Teachers, Postsecondary",42.5,12.5,57.5,,0.425,Education & Library,,,75.9,59.0
25-1123.00,"English Language and Literature Teachers, Postsecondary",52.7,25.0,57.1,68.8,0.5899,Education & Library,,,77.6,60.0
25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",53.3,26.7,56.7,,0.533,Education & Library,,,77.3,58.8
25-1125.00,"History Teachers, Postsecondary",51.1,22.2,58.9,47.5,0.3354,Education & Library,,,76.0,60.0
25-1126.00,"Philosophy and Religion Teachers, Postsecondary",51.1,25.0,59.1,56.9,0.4442,Education & Library,,,76.4,58.8
25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",53.8,20.0,65.0,57.5,0.4646,Education & Library,,,75.6,59.5
25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",55.8,27.9,61.6,63.8,0.5475,Education & Library,,,76.7,59.0
25-1194.00,"Career/Technical Education Teachers, Postsecondary",48.7,12.8,44.9,69.7,0.5803,Education & Library,,,73.4,60.8
25-2011.00,"Preschool Teachers, Except Special Education",22.7,6.1,31.1,61.7,0.3577,Education & Library,,,78.0,64.5
25-2012.00,"Kindergarten Teachers, Except Special Education",23.3,5.5,29.5,61.5,0.3584,Education & Library,,,80.8,61.0
25-2021.00,"Elementary School Teachers, Except Special Education",31.1,5.4,31.1,67.5,0.4668,Education & Library,,,76.5,59.2
25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",34.8,7.2,34.1,66.9,0.4784,Education & Library,,,77.4,57.8
25-2023.00,"Career/Technical Education Teachers, Middle School",32.3,19.4,33.9,65.8,0.4532,Education & Library,,,75.6,58.5
25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",33.3,3.2,34.1,63.9,0.4362,Education & Library,,,76.6,58.8
25-2032.00,"Career/Technical Education Teachers, Secondary School",33.3,15.2,33.3,55.6,0.3401,Education & Library,,,76.9,57.8
25-2051.00,"Special Education Teachers, Preschool",20.0,11.4,30.7,,0.2,Education & Library,,,70.4,62.0
25-2055.00,"Special Education Teachers, Kindergarten",25.0,10.0,35.0,,0.25,Education & Library,,,68.4,63.0
25-2056.00,"Special Education Teachers, Elementary School",31.7,10.0,35.0,,0.317,Education & Library,,,74.1,56.0
25-2057.00,"Special Education Teachers, Middle School",30.5,7.8,30.5,,0.305,Education & Library,,,78.2,58.5
25-2058.00,"Special Education Teachers, Secondary School",30.1,10.3,29.5,,0.301,Education & Library,,,78.6,59.2
25-2059.01,Adapted Physical Education Specialists,47.5,30.0,25.0,62.5,0.491,Education & Library,,,88.3,55.8
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",40.4,17.6,42.6,53.8,0.3548,Education & Library,,,77.8,61.5
25-3021.00,Self-Enrichment Teachers,36.0,16.0,38.0,,0.36,Education & Library,,,71.5,60.5
25-3031.00,"Substitute Teachers, Short-Term",36.1,27.8,8.3,,0.361,Education & Library,,,,
25-3041.00,Tutors,54.3,17.1,37.1,,0.543,Education & Library,,,70.7,56.8
25-4011.00,Archivists,50.0,7.7,50.0,,0.5,Education & Library,,,72.0,57.2
25-4012.00,Curators,50.0,14.8,51.9,60.5,0.4803,Education & Library,,,73.5,63.0
25-4013.00,Museum Technicians and Conservators,23.7,5.3,23.7,60.4,0.3476,Education & Library,,,79.3,58.8
25-4022.00,Librarians and Media Collections Specialists,53.5,15.8,50.0,,0.535,Education & Library,,,71.5,58.5
25-4031.00,Library Technicians,56.7,38.5,52.9,66.9,0.5879,Education & Library,,,57.8,52.2
25-9021.00,Farm and Home Management Educators,37.0,7.4,53.7,53.1,0.3297,Education & Library,,,74.2,62.5
25-9031.00,Instructional Coordinators,48.8,17.5,52.5,67.5,0.5554,Education & Library,,,66.7,63.0
25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",36.7,26.7,28.3,,0.367,Education & Library,,,81.5,50.5
25-9043.00,"Teaching Assistants, Special Education",26.7,16.7,25.0,,0.267,Education & Library,,,86.2,52.2
25-9044.00,"Teaching Assistants, Postsecondary",53.0,33.3,36.4,,0.53,Education & Library,,,68.1,56.8
27-1011.00,Art Directors,50.0,6.9,43.1,,0.5,Arts & Media,,,62.6,58.0
27-1012.00,Craft Artists,25.9,0.0,22.4,53.8,0.2823,Arts & Media,,,59.7,64.2
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",42.5,0.0,31.2,64.6,0.4903,Arts & Media,,,60.7,66.0
27-1014.00,Special Effects Artists and Animators,52.5,5.0,47.5,63.7,0.5298,Arts & Media,,,64.8,62.7
27-1021.00,Commercial and Industrial Designers,46.6,0.0,41.4,51.9,0.3638,Arts & Media,,,69.3,65.2
27-1022.00,Fashion Designers,39.1,0.0,37.5,57.2,0.3876,Arts & Media,,,74.8,61.5
27-1023.00,Floral Designers,20.0,6.7,26.7,61.3,0.3396,Arts & Media,,,81.0,60.8
27-1024.00,Graphic Designers,50.0,0.0,41.1,61.7,0.4942,Arts & Media,,,66.9,62.0
27-1025.00,Interior Designers,50.0,0.0,36.2,62.5,0.5034,Arts & Media,,,51.7,59.8
27-1026.00,Merchandise Displayers and Window Trimmers,30.5,0.0,26.8,65.6,0.4418,Arts & Media,,,73.9,64.8
27-1027.00,Set and Exhibit Designers,39.1,0.0,35.9,56.5,0.3796,Arts & Media,,,62.3,63.0
27-2011.00,Actors,18.8,15.6,15.6,54.4,0.2537,Arts & Media,,,80.9,64.2
27-2012.00,Producers and Directors,46.8,17.0,47.9,,0.468,Arts & Media,,,71.3,55.8
27-2012.03,Media Programming Directors,48.7,12.8,61.5,67.5,0.5549,Arts & Media,,,64.9,61.0
27-2012.04,Talent Directors,50.0,7.7,34.6,,0.5,Arts & Media,,,65.3,59.8
27-2012.05,Media Technical Directors/Managers,42.3,0.0,30.8,57.5,0.4071,Arts & Media,,,83.3,68.8
27-2021.00,Athletes and Sports Competitors,0.0,0.0,0.0,50.3,0.1122,Arts & Media,,,85.2,59.8
27-2022.00,Coaches and Scouts,30.0,6.7,14.4,63.8,0.4185,Arts & Media,,,85.4,63.5
27-2023.00,"Umpires, Referees, and Other Sports Officials",31.2,25.0,16.7,,0.312,Arts & Media,,,86.4,52.0
27-2031.00,Dancers,2.1,0.0,4.2,48.8,0.1054,Arts & Media,,,94.1,66.2
27-2032.00,Choreographers,27.1,5.7,17.1,52.8,0.2767,Arts & Media,,,81.5,68.2
27-2041.00,Music Directors and Composers,71.1,52.6,28.1,,0.711,Arts & Media,,,80.3,63.2
27-2042.00,Musicians and Singers,40.8,24.5,13.3,,0.408,Arts & Media,,,71.8,62.5
27-2091.00,"Disc Jockeys, Except Radio",52.6,42.1,36.8,,0.526,Arts & Media,,,,
27-3011.00,Broadcast Announcers and Radio Disc Jockeys,65.0,40.0,53.8,75.6,0.7301,Arts & Media,,,67.0,60.0
27-3023.00,"News Analysts, Reporters, and Journalists",65.0,30.0,63.3,,0.65,Arts & Media,,,65.3,53.8
27-3031.00,Public Relations Specialists,59.1,24.2,78.8,,0.591,Arts & Media,,,71.6,58.8
27-3041.00,Editors,64.7,35.3,64.7,60.5,0.5538,Arts & Media,,,79.0,58.0
27-3042.00,Technical Writers,70.0,46.7,63.3,65.0,0.6324,Arts & Media,,,71.8,56.8
27-3043.00,Writers and Authors,86.5,73.1,80.8,,0.865,Arts & Media,,,74.8,59.0
27-3043.05,"Poets, Lyricists and Creative Writers",88.9,88.9,74.1,74.4,0.8357,Arts & Media,,,80.5,59.5
27-3091.00,Interpreters and Translators,88.0,88.0,84.0,64.7,0.719,Arts & Media,,,84.1,54.8
27-3092.00,Court Reporters and Simultaneous Captioners,95.8,91.7,52.1,,0.958,Arts & Media,,,68.8,34.5
27-4011.00,Audio and Video Technicians,43.8,12.5,30.0,65.5,0.5072,Arts & Media,,,66.2,62.0
27-4012.00,Broadcast Technicians,52.4,28.6,21.4,72.2,0.6278,Arts & Media,,,74.8,48.3
27-4014.00,Sound Engineering Technicians,42.6,7.4,27.8,51.3,0.3368,Arts & Media,,,77.3,64.0
27-4015.00,Lighting Technicians,15.6,6.2,9.4,,0.156,Arts & Media,,,,
27-4021.00,Photographers,38.5,4.2,21.9,68.9,0.52,Arts & Media,,,76.1,63.2
27-4031.00,"Camera Operators, Television, Video, and Film",42.4,6.1,18.2,57.5,0.4076,Arts & Media,,,73.3,55.2
27-4032.00,Film and Video Editors,52.8,11.1,47.2,54.4,0.4237,Arts & Media,,,65.5,60.2
29-1011.00,Chiropractors,45.5,18.2,31.8,,0.455,Healthcare Practitioners,,,93.9,66.5
29-1021.00,"Dentists, General",25.0,5.0,22.5,55.2,0.294,Healthcare Practitioners,,,84.8,61.5
29-1022.00,Oral and Maxillofacial Surgeons,4.0,0.0,8.0,,0.04,Healthcare Practitioners,,,,
29-1023.00,Orthodontists,30.0,0.0,20.0,56.6,0.3352,Healthcare Practitioners,,,65.3,60.8
29-1024.00,Prosthodontists,4.5,0.0,9.1,61.3,0.2621,Healthcare Practitioners,,,,
29-1031.00,Dietitians and Nutritionists,54.9,14.6,46.3,66.3,0.572,Healthcare Practitioners,,,67.0,62.0
29-1041.00,Optometrists,30.0,0.0,5.0,62.5,0.4034,Healthcare Practitioners,,,83.3,61.0
29-1051.00,Pharmacists,42.9,11.4,40.0,55.0,0.3812,Healthcare Practitioners,,,85.2,60.8
29-1071.00,Physician Assistants,37.5,0.0,12.5,62.5,0.441,Healthcare Practitioners,,,89.6,66.2
29-1071.01,Anesthesiologist Assistants,16.7,0.0,9.5,56.5,0.2676,Healthcare Practitioners,,,83.7,65.0
29-1081.00,Podiatrists,28.6,0.0,28.6,64.7,0.4219,Healthcare Practitioners,,,,
29-1122.00,Occupational Therapists,30.3,12.1,39.4,60.6,0.383,Healthcare Practitioners,,,77.8,52.8
29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",27.5,10.0,28.7,55.3,0.3076,Healthcare Practitioners,,,77.3,64.0
29-1123.00,Physical Therapists,19.1,8.5,34.0,56.9,0.2842,Healthcare Practitioners,,,79.1,61.5
29-1124.00,Radiation Therapists,28.0,4.9,17.1,74.6,0.5335,Healthcare Practitioners,,,,
29-1125.00,Recreational Therapists,31.8,9.1,36.4,,0.318,Healthcare Practitioners,,,72.9,61.0
29-1126.00,Respiratory Therapists,20.2,9.5,19.0,41.3,0.1091,Healthcare Practitioners,,,89.5,66.0
29-1127.00,Speech-Language Pathologists,45.1,17.1,39.0,65.2,0.5102,Healthcare Practitioners,,,88.3,61.5
29-1128.00,Exercise Physiologists,26.0,4.0,34.0,52.2,0.2642,Healthcare Practitioners,,,88.4,65.5
29-1129.01,Art Therapists,29.8,4.3,31.9,,0.298,Healthcare Practitioners,,,83.2,61.3
29-1129.02,Music Therapists,43.3,13.3,50.0,,0.433,Healthcare Practitioners,,,71.1,63.0
29-1131.00,Veterinarians,27.0,8.1,23.0,59.4,0.3526,Healthcare Practitioners,,,91.7,61.3
29-1141.00,Registered Nurses,33.3,4.8,38.1,55.8,0.3425,Healthcare Practitioners,,,86.5,60.5
29-1141.01,Acute Care Nurses,30.6,4.1,32.7,65.0,0.4354,Healthcare Practitioners,,,89.0,58.2
29-1141.02,Advanced Practice Psychiatric Nurses,46.7,8.9,44.4,48.8,0.3284,Healthcare Practitioners,,,88.1,63.7
29-1141.03,Critical Care Nurses,34.5,10.3,19.0,62.5,0.426,Healthcare Practitioners,,,50.6,55.0
29-1141.04,Clinical Nurse Specialists,45.0,6.7,33.3,62.5,0.4784,Healthcare Practitioners,,,78.6,59.2
29-1151.00,Nurse Anesthetists,16.7,0.0,12.5,63.8,0.352,Healthcare Practitioners,,,,
29-1161.00,Nurse Midwives,39.0,19.5,29.3,62.5,0.4484,Healthcare Practitioners,,,86.0,61.5
29-1171.00,Nurse Practitioners,48.1,3.7,31.5,,0.481,Healthcare Practitioners,,,85.8,63.5
29-1181.00,Audiologists,45.5,13.6,45.5,59.7,0.4486,Healthcare Practitioners,,,69.2,58.8
29-1211.00,Anesthesiologists,25.0,0.0,29.4,,0.25,Healthcare Practitioners,,,94.3,61.5
29-1212.00,Cardiologists,34.6,0.0,23.1,,0.346,Healthcare Practitioners,,,91.7,52.8
29-1213.00,Dermatologists,38.2,0.0,32.4,,0.382,Healthcare Practitioners,,,91.7,67.8
29-1214.00,Emergency Medicine Physicians,44.1,5.9,35.3,,0.441,Healthcare Practitioners,,,,
29-1215.00,Family Medicine Physicians,43.8,0.0,37.5,,0.438,Healthcare Practitioners,,,84.0,62.0
29-1216.00,General Internal Medicine Physicians,45.7,0.0,37.1,,0.457,Healthcare Practitioners,,,91.8,61.3
29-1217.00,Neurologists,45.7,4.3,37.0,,0.457,Healthcare Practitioners,,,87.0,69.5
29-1218.00,Obstetricians and Gynecologists,39.3,0.0,30.4,,0.393,Healthcare Practitioners,,,91.5,59.8
29-1221.00,"Pediatricians, General",48.3,0.0,36.7,,0.483,Healthcare Practitioners,,,83.9,61.0
29-1222.00,"Physicians, Pathologists",47.0,6.1,31.8,,0.47,Healthcare Practitioners,,,68.3,62.7
29-1223.00,Psychiatrists,47.8,8.7,52.2,,0.478,Healthcare Practitioners,,,76.5,51.5
29-1224.00,Radiologists,48.9,0.0,51.1,,0.489,Healthcare Practitioners,,,81.8,57.8
29-1229.01,Allergists and Immunologists,45.0,16.7,36.7,,0.45,Healthcare Practitioners,,,88.5,64.0
29-1229.02,Hospitalists,57.1,21.4,35.7,,0.571,Healthcare Practitioners,,,,
29-1229.03,Urologists,35.7,7.1,25.0,,0.357,Healthcare Practitioners,,,,
29-1229.04,Physical Medicine and Rehabilitation Physicians,26.7,6.7,13.3,,0.267,Healthcare Practitioners,,,,
29-1229.05,Preventive Medicine Physicians,46.7,0.0,36.7,,0.467,Healthcare Practitioners,,,58.9,56.5
29-1229.06,Sports Medicine Physicians,38.7,7.5,43.4,,0.387,Healthcare Practitioners,,,100.0,65.8
29-1241.00,"Ophthalmologists, Except Pediatric",42.6,5.9,33.8,,0.426,Healthcare Practitioners,,,89.8,61.5
29-1242.00,"Orthopedic Surgeons, Except Pediatric",33.3,6.7,23.3,,0.333,Healthcare Practitioners,,,86.7,64.2
29-1243.00,Pediatric Surgeons,36.1,11.1,22.2,,0.361,Healthcare Practitioners,,,73.3,63.0
29-1291.00,Acupuncturists,16.7,16.7,30.6,,0.167,Healthcare Practitioners,,,86.4,67.0
29-1292.00,Dental Hygienists,18.8,6.2,9.4,,0.188,Healthcare Practitioners,,,77.6,56.8
29-1299.01,Naturopathic Physicians,46.2,20.5,25.6,,0.462,Healthcare Practitioners,,,90.0,59.0
29-1299.02,Orthoptists,53.1,18.8,37.5,,0.531,Healthcare Practitioners,,,80.4,59.0
29-2011.00,Medical and Clinical Laboratory Technologists,23.2,7.1,23.2,64.8,0.3961,Healthcare Practitioners,,,78.6,54.2
29-2011.01,Cytogenetic Technologists,42.2,20.7,33.6,57.7,0.4089,Healthcare Practitioners,,,,64.5
29-2011.02,Cytotechnologists,42.0,16.0,16.0,73.1,0.5861,Healthcare Practitioners,,,82.6,62.0
29-2011.04,Histotechnologists,28.1,12.5,6.2,,0.281,Healthcare Practitioners,,,80.3,57.2
29-2012.00,Medical and Clinical Laboratory Technicians,21.4,0.0,9.5,64.7,0.3859,Healthcare Practitioners,,,82.2,56.0
29-2012.01,Histology Technicians,12.5,0.0,0.0,,0.125,Healthcare Practitioners,,,,
29-2031.00,Cardiovascular Technologists and Technicians,35.7,8.6,17.1,59.4,0.3961,Healthcare Practitioners,,,92.4,59.5
29-2032.00,Diagnostic Medical Sonographers,30.3,10.5,28.9,63.1,0.4119,Healthcare Practitioners,,,66.7,62.7
29-2033.00,Nuclear Medicine Technologists,29.0,6.5,25.8,52.5,0.2828,Healthcare Practitioners,,,83.1,62.0
29-2034.00,Radiologic Technologists and Technicians,37.7,0.0,28.1,,0.377,Healthcare Practitioners,,,72.5,58.8
29-2035.00,Magnetic Resonance Imaging Technologists,32.2,4.4,22.2,64.4,0.4364,Healthcare Practitioners,,,77.2,55.8
29-2036.00,Medical Dosimetrists,45.0,15.0,30.0,,0.45,Healthcare Practitioners,,,,
29-2042.00,Emergency Medical Technicians,20.8,16.7,20.8,,0.208,Healthcare Practitioners,,,,66.8
29-2043.00,Paramedics,15.4,7.7,19.2,,0.154,Healthcare Practitioners,,,,66.8
29-2051.00,Dietetic Technicians,54.3,17.4,41.3,69.4,0.6048,Healthcare Practitioners,,,79.4,58.8
29-2052.00,Pharmacy Technicians,42.6,29.4,42.6,66.9,0.5174,Healthcare Practitioners,,,42.7,48.3
29-2053.00,Psychiatric Technicians,12.0,0.0,34.0,52.1,0.1931,Healthcare Practitioners,,,94.7,75.0
29-2055.00,Surgical Technologists,6.7,3.3,1.7,,0.067,Healthcare Practitioners,,,,
29-2056.00,Veterinary Technologists and Technicians,16.4,6.6,14.8,69.0,0.4107,Healthcare Practitioners,,,88.7,57.2
29-2057.00,Ophthalmic Medical Technicians,32.9,5.3,10.5,58.8,0.3752,Healthcare Practitioners,,,,
29-2061.00,Licensed Practical and Licensed Vocational Nurses,25.0,7.9,25.0,59.7,0.346,Healthcare Practitioners,,,87.2,50.2
29-2072.00,Medical Records Specialists,61.8,23.5,55.9,,0.618,Healthcare Practitioners,,,71.2,48.3
29-2081.00,"Opticians, Dispensing",28.6,9.5,23.8,62.5,0.3964,Healthcare Practitioners,,,,
29-2091.00,Orthotists and Prosthetists,27.6,17.2,19.0,71.9,0.5003,Healthcare Practitioners,,,,
29-2092.00,Hearing Aid Specialists,20.0,0.0,5.0,65.0,0.3824,Healthcare Practitioners,,,,
29-2099.01,Neurodiagnostic Technologists,34.4,6.2,18.8,,0.344,Healthcare Practitioners,,,,
29-2099.05,Ophthalmic Medical Technologists,36.7,3.3,6.7,68.1,0.5018,Healthcare Practitioners,,,,
29-2099.08,Patient Representatives,52.4,9.5,57.1,,0.524,Healthcare Practitioners,,,76.1,53.2
29-9021.00,Health Information Technologists and Medical Registrars,65.6,31.2,53.1,,0.656,Healthcare Practitioners,,,74.5,56.0
29-9091.00,Athletic Trainers,27.9,9.3,40.7,60.3,0.3675,Healthcare Practitioners,,,83.7,61.8
29-9092.00,Genetic Counselors,50.0,10.5,63.2,62.2,0.5,Healthcare Practitioners,,,79.4,60.2
29-9093.00,Surgical Assistants,3.9,0.0,3.9,,0.039,Healthcare Practitioners,,,,
29-9099.01,Midwives,37.9,15.7,25.0,55.0,0.3561,Healthcare Practitioners,,,70.2,57.5
31-1121.00,Home Health Aides,7.7,7.7,3.8,,0.077,Healthcare Support,,,91.9,58.8
31-1122.00,Personal Care Aides,22.2,16.7,33.3,,0.222,Healthcare Support,,,93.4,57.5
31-1131.00,Nursing Assistants,10.2,5.1,13.6,,0.102,Healthcare Support,,,87.4,61.0
31-1132.00,Orderlies,0.0,0.0,4.7,,0.0,Healthcare Support,,,,
31-1133.00,Psychiatric Aides,12.5,12.5,12.5,,0.125,Healthcare Support,,,87.3,71.5
31-2011.00,Occupational Therapy Assistants,26.7,18.6,23.3,58.1,0.336,Healthcare Support,,,83.3,71.0
31-2012.00,Occupational Therapy Aides,24.1,22.2,7.4,58.3,0.3254,Healthcare Support,,,77.6,49.5
31-2021.00,Physical Therapist Assistants,15.4,10.3,10.3,53.8,0.2298,Healthcare Support,,,,48.3
31-2022.00,Physical Therapist Aides,18.2,12.1,15.2,55.0,0.2576,Healthcare Support,,,,48.3
31-9011.00,Massage Therapists,7.4,7.4,18.5,40.6,0.037,Healthcare Support,,,84.3,68.0
31-9091.00,Dental Assistants,26.7,13.3,10.0,59.4,0.3511,Healthcare Support,,,90.5,63.0
31-9092.00,Medical Assistants,35.9,17.9,14.1,,0.359,Healthcare Support,,,84.6,55.5
31-9093.00,Medical Equipment Preparers,11.1,7.4,3.7,,0.111,Healthcare Support,,,,
31-9094.00,Medical Transcriptionists,87.5,82.1,23.2,71.2,0.7916,Healthcare Support,,,77.4,47.0
31-9095.00,Pharmacy Aides,38.0,24.0,14.0,50.3,0.3022,Healthcare Support,,,,48.8
31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,22.2,11.1,14.8,67.8,0.4258,Healthcare Support,,,87.9,56.2
31-9097.00,Phlebotomists,18.3,14.6,11.0,66.9,0.3959,Healthcare Support,,,,
31-9099.01,Speech-Language Pathology Assistants,60.5,31.6,21.1,55.3,0.4726,Healthcare Support,,,,
31-9099.02,Endoscopy Technicians,12.5,8.3,0.0,62.1,0.3114,Healthcare Support,,,,
33-1011.00,First-Line Supervisors of Correctional Officers,28.3,21.7,28.3,61.0,0.3776,Protective Service,,,,
33-1012.00,First-Line Supervisors of Police and Detectives,32.9,10.5,35.5,64.4,0.4399,Protective Service,,,86.2,55.8
33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers,41.5,22.6,40.6,,0.415,Protective Service,,,78.0,48.8
33-1091.00,First-Line Supervisors of Security Workers,40.5,23.8,26.2,,0.405,Protective Service,,,,
33-2011.00,Firefighters,14.0,10.5,8.8,,0.14,Protective Service,,,,
33-2021.00,Fire Inspectors and Investigators,28.8,13.5,38.5,,0.288,Protective Service,,,,
33-2022.00,Forest Fire Inspectors and Prevention Specialists,21.9,12.5,37.5,,0.219,Protective Service,,,,57.8
